Building,Date,ExpId,SSID,Addr,RSSI
rdc,2021-05-25,0.0,uha,3890a5600b40,-85.0
rdc,2021-05-25,0.0,uha,3890a54ca360,-75.0
rdc,2021-05-25,0.0,uha,3890a5503e60,-86.0
rdc,2021-05-25,0.0,uha,3890a5505380,-70.0
rdc,2021-05-25,0.0,uha,3890a5505380,-72.0
rdc,2021-05-25,0.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,0.0,uha,3890a5600b40,-85.0
rdc,2021-05-25,0.0,uha,3890a5503e60,-86.0
rdc,2021-05-25,0.1,uha,3890a5503e60,-85.0
rdc,2021-05-25,0.1,uha,3890a5600b40,-85.0
rdc,2021-05-25,0.1,uha,3890a5505380,-84.0
rdc,2021-05-25,0.1,uha,3890a54ca360,-68.0
rdc,2021-05-25,0.1,uha,3890a5499de0,-94.0
rdc,2021-05-25,0.1,uha,3890a5600b40,-88.0
rdc,2021-05-25,0.1,uha,3890a54ca360,-69.0
rdc,2021-05-25,0.1,uha,3890a5505380,-84.0
rdc,2021-05-25,0.1,uha,3890a5503e60,-86.0
rdc,2021-05-25,0.1,uha,3890a5600b40,-90.0
rdc,2021-05-25,0.1,uha,3890a549a1e0,-98.0
rdc,2021-05-25,0.1,uha,3890a549a1e0,-96.0
rdc,2021-05-25,0.1,uha,3890a5499de0,-95.0
rdc,2021-05-25,0.1,uha,3890a5503e60,-85.0
rdc,2021-05-25,0.1,uha,3890a5505380,-84.0
rdc,2021-05-25,0.1,uha,3890a54ca360,-67.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-66.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-60.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-64.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-66.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-66.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-65.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-66.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-66.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-67.0
rdc,2021-05-25,0.2,uha,3890a54ca360,-67.0
rdc,2021-05-25,0.3,uha,3890a5505380,-84.0
rdc,2021-05-25,0.3,uha,3890a5503e60,-82.0
rdc,2021-05-25,0.3,uha,3890a54ca360,-67.0
rdc,2021-05-25,0.3,uha,3890a5600b40,-86.0
rdc,2021-05-25,0.3,uha,3890a54ca360,-67.0
rdc,2021-05-25,0.3,uha,3890a5600b40,-90.0
rdc,2021-05-25,0.3,uha,3890a5503e60,-82.0
rdc,2021-05-25,0.3,uha,3890a5600b40,-85.0
rdc,2021-05-25,0.3,uha,3890a5600b40,-82.0
rdc,2021-05-25,0.3,uha,3890a5505380,-82.0
rdc,2021-05-25,0.3,uha,3890a5503e60,-79.0
rdc,2021-05-25,0.3,uha,3890a54ca360,-66.0
rdc,2021-05-25,0.3,uha,3890a5503e60,-83.0
rdc,2021-05-25,0.3,uha,3890a5600b40,-83.0
rdc,2021-05-25,0.3,uha,3890a5505380,-81.0
rdc,2021-05-25,0.3,uha,3890a54ca360,-69.0
rdc,2021-05-25,0.3,uha,3890a5503e60,-86.0
rdc,2021-05-25,0.3,uha,3890a54ca360,-67.0
rdc,2021-05-25,0.3,uha,3890a5503e60,-85.0
rdc,2021-05-25,0.3,uha,3890a5505380,-83.0
rdc,2021-05-25,0.3,uha,3890a54ca360,-64.0
rdc,2021-05-25,0.3,uha,3890a5503e60,-84.0
rdc,2021-05-25,0.3,uha,3890a5600b40,-83.0
rdc,2021-05-25,0.3,uha,3890a5505380,-83.0
rdc,2021-05-25,0.3,uha,3890a54ca360,-65.0
rdc,2021-05-25,0.3,uha,3890a5505380,-84.0
rdc,2021-05-25,0.3,uha,3890a5505380,-82.0
rdc,2021-05-25,0.3,uha,3890a54ca360,-69.0
rdc,2021-05-25,0.3,uha,3890a5600b40,-90.0
rdc,2021-05-25,0.3,uha,3890a5503e60,-87.0
rdc,2021-05-25,0.3,uha,3890a5505380,-82.0
rdc,2021-05-25,0.3,uha,3890a5503e60,-86.0
rdc,2021-05-25,0.3,uha,3890a5600b40,-90.0
rdc,2021-05-25,0.3,uha,3890a54ca360,-68.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-75.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-75.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-75.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-77.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,1.0,uha,3890a54ca360,-76.0
rdc,2021-05-25,2.0,uha,3890a54ca360,-68.0
rdc,2021-05-25,2.0,uha,3890a5503e60,-84.0
rdc,2021-05-25,2.0,uha,3890a5505380,-91.0
rdc,2021-05-25,2.0,uha,3890a5600b40,-87.0
rdc,2021-05-25,2.0,uha,3890a5505380,-94.0
rdc,2021-05-25,2.0,uha,3890a5503e60,-87.0
rdc,2021-05-25,2.0,uha,3890a5503e60,-87.0
rdc,2021-05-25,2.0,uha,3890a5600b40,-89.0
rdc,2021-05-25,2.0,uha,3890a54ca360,-67.0
rdc,2021-05-25,2.0,uha,3890a5600b40,-92.0
rdc,2021-05-25,2.0,uha,3890a54ca360,-66.0
rdc,2021-05-25,2.0,uha,3890a5600b40,-81.0
rdc,2021-05-25,2.0,uha,3890a5505380,-94.0
rdc,2021-05-25,2.0,uha,3890a54ca360,-67.0
rdc,2021-05-25,2.0,uha,3890a5503e60,-84.0
rdc,2021-05-25,2.0,uha,3890a5600b40,-85.0
rdc,2021-05-25,2.0,uha,3890a5505380,-91.0
rdc,2021-05-25,2.0,uha,3890a5503e60,-83.0
rdc,2021-05-25,2.0,uha,3890a5503e60,-85.0
rdc,2021-05-25,2.0,uha,3890a5600b40,-87.0
rdc,2021-05-25,2.0,uha,3890a5505380,-91.0
rdc,2021-05-25,2.0,uha,3890a54ca360,-70.0
rdc,2021-05-25,2.0,uha,3890a54ca360,-66.0
rdc,2021-05-25,2.0,uha,3890a5503e60,-87.0
rdc,2021-05-25,2.0,uha,3890a54ca360,-67.0
rdc,2021-05-25,2.0,uha,3890a5505380,-94.0
rdc,2021-05-25,2.0,uha,3890a5503e60,-87.0
rdc,2021-05-25,2.0,uha,3890a5600b40,-87.0
rdc,2021-05-25,2.0,uha,3890a54ca360,-66.0
rdc,2021-05-25,2.0,uha,3890a5505380,-94.0
rdc,2021-05-25,2.0,uha,3890a5600b40,-90.0
rdc,2021-05-25,2.0,uha,3890a5503e60,-86.0
rdc,2021-05-25,2.0,uha,3890a54ca360,-65.0
rdc,2021-05-25,2.0,uha,3890a5600b40,-92.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-73.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-77.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-76.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-78.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-77.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-75.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-74.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-76.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-77.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-76.0
rdc,2021-05-25,2.1,uha,3890a54ca360,-77.0
