Building,Date,ExpId,SSID,Addr,RSSI
rdc,2021-05-25,0,telephone,3890a5505382,-68
rdc,2021-05-25,0,eduroam,3890a5505381,-71
rdc,2021-05-25,0,uha,3890a5505380,-72
rdc,2021-05-25,0,telephone,3890a54ca362,-75
rdc,2021-05-25,0,uha,3890a54ca360,-76
rdc,2021-05-25,0,eduroam,3890a54ca361,-76
rdc,2021-05-25,0,P.H. EST PARMI NOUS,6ec7ece83154,-76
rdc,2021-05-25,0,telephone,3890a5600b42,-84
rdc,2021-05-25,0,uha,3890a5600b40,-85
rdc,2021-05-25,0,eduroam,3890a5600b41,-85
rdc,2021-05-25,0,uha,3890a5503e60,-86
rdc,2021-05-25,0,telephone,3890a5503e62,-86
rdc,2021-05-25,0,eduroam,3890a5503e61,-87
rdc,2021-05-25,0,uha,3890a5505380,-70
rdc,2021-05-25,0,eduroam,3890a5505381,-71
rdc,2021-05-25,0,telephone,3890a5505382,-71
rdc,2021-05-25,0,telephone,3890a54ca362,-74
rdc,2021-05-25,0,uha,3890a54ca360,-75
rdc,2021-05-25,0,eduroam,3890a54ca361,-75
rdc,2021-05-25,0,P.H. EST PARMI NOUS,6ec7ece83154,-75
rdc,2021-05-25,0,telephone,3890a5600b42,-84
rdc,2021-05-25,0,uha,3890a5600b40,-85
rdc,2021-05-25,0,eduroam,3890a5600b41,-85
rdc,2021-05-25,0,eduroam,3890a5503e61,-86
rdc,2021-05-25,0,uha,3890a5503e60,-86
rdc,2021-05-25,0,telephone,3890a5503e62,-86
rdc,2021-05-25,0.3,P.H. EST PARMI NOUS,6ec7ece83154,-64
rdc,2021-05-25,0.3,uha,3890a54ca360,-65
rdc,2021-05-25,0.3,telephone,3890a54ca362,-65
rdc,2021-05-25,0.3,eduroam,3890a5600b41,-82
rdc,2021-05-25,0.3,uha,3890a5505380,-83
rdc,2021-05-25,0.3,eduroam,3890a5505381,-83
rdc,2021-05-25,0.3,telephone,3890a5505382,-83
rdc,2021-05-25,0.3,uha,3890a5600b40,-83
rdc,2021-05-25,0.3,telephone,3890a5600b42,-83
rdc,2021-05-25,0.3,uha,3890a5503e60,-84
rdc,2021-05-25,0.3,eduroam,3890a54ca361,-64
rdc,2021-05-25,0.3,telephone,3890a54ca362,-64
rdc,2021-05-25,0.3,uha,3890a54ca360,-64
rdc,2021-05-25,0.3,P.H. EST PARMI NOUS,6ec7ece83154,-64
rdc,2021-05-25,0.3,telephone,3890a5505382,-82
rdc,2021-05-25,0.3,uha,3890a5505380,-83
rdc,2021-05-25,0.3,eduroam,3890a5505381,-83
rdc,2021-05-25,0.3,eduroam,3890a5503e61,-84
rdc,2021-05-25,0.3,eduroam,3890a5600b41,-844534
rdc,2021-05-25,0.3,uha,3890a5503e60,-85
rdc,2021-05-25,0.3,telephone,3890a5503e62,-85
rdc,2021-05-25,0.3,eduroam,3890a54ca361,-65
rdc,2021-05-25,0.3,uha,3890a54ca360,-67
rdc,2021-05-25,0.3,telephone,3890a54ca362,-67
rdc,2021-05-25,0.3,P.H. EST PARMI NOUS,6ec7ece83154,-68
rdc,2021-05-25,0.3,uha,3890a5505380,-84
rdc,2021-05-25,0.3,eduroam,3890a5505381,-84
rdc,2021-05-25,0.3,telephone,3890a5505382,-84
rdc,2021-05-25,0.3,uha,3890a5503e60,-86
rdc,2021-05-25,0.3,telephone,3890a5503e62,-86
rdc,2021-05-25,0.3,eduroam,3890a5503e61,-87
rdc,2021-05-25,0.3,uha,3890a5600b40,-90
rdc,2021-05-25,0.3,P.H. EST PARMI NOUS,6ec7ece83154,-67
rdc,2021-05-25,0.3,uha,3890a54ca360,-68
rdc,2021-05-25,0.3,telephone,3890a54ca362,-68
rdc,2021-05-25,0.3,eduroam,3890a54ca361,-69
rdc,2021-05-25,0.3,uha,3890a5505380,-82
rdc,2021-05-25,0.3,eduroam,3890a5505381,-82
rdc,2021-05-25,0.3,telephone,3890a5505382,-82
rdc,2021-05-25,0.3,eduroam,3890a5503e61,-86
rdc,2021-05-25,0.3,telephone,3890a5503e62,-86
rdc,2021-05-25,0.3,uha,3890a5503e60,-87
rdc,2021-05-25,0.3,uha,3890a5600b40,-90
rdc,2021-05-25,0.3,telephone,3890a5600b42,-90
rdc,2021-05-25,0.3,eduroam,3890a5600b41,-91
rdc,2021-05-25,0.3,P.H. EST PARMI NOUS,6ec7ece83154,-67
rdc,2021-05-25,0.3,telephone,3890a54ca362,-68
rdc,2021-05-25,0.3,uha,3890a54ca360,-69
rdc,2021-05-25,0.3,eduroam,3890a54ca361,-69
rdc,2021-05-25,0.3,uha,3890a5505380,-82
rdc,2021-05-25,0.3,eduroam,3890a5505381,-82
rdc,2021-05-25,0.3,telephone,3890a5505382,-83
rdc,2021-05-25,0.3,telephone,3890a5503e62,-85
rdc,2021-05-25,0.3,uha,3890a5503e60,-86
rdc,2021-05-25,0.3,eduroam,3890a5503e61,-86
rdc,2021-05-25,0.3,telephone,3890a5600b42,-89
rdc,2021-05-25,0.3,uha,3890a5600b40,-90
rdc,2021-05-25,0.3,eduroam,3890a5600b41,-90
rdc,2021-05-25,0.3,eduroam,3890a54ca361,-66
rdc,2021-05-25,0.3,telephone,3890a54ca362,-66
rdc,2021-05-25,0.3,uha,3890a54ca360,-67
rdc,2021-05-25,0.3,P.H. EST PARMI NOUS,6ec7ece83154,-69
rdc,2021-05-25,0.3,eduroam,3890a5503e61,-80
rdc,2021-05-25,0.3,telephone,3890a5503e62,-81
rdc,2021-05-25,0.3,uha,3890a5503e60,-82
rdc,2021-05-25,0.3,eduroam,3890a5505381,-83
rdc,2021-05-25,0.3,eduroam,3890a5600b41,-85
rdc,2021-05-25,0.3,telephone,3890a5600b42,-85
rdc,2021-05-25,0.3,uha,3890a5600b40,-86
rdc,2021-05-25,0.3,uha,3890a54ca360,-67
rdc,2021-05-25,0.3,telephone,3890a54ca362,-67
rdc,2021-05-25,0.3,P.H. EST PARMI NOUS,6ec7ece83154,-67
rdc,2021-05-25,0.3,uha,3890a5503e60,-82
rdc,2021-05-25,0.3,eduroam,3890a5503e61,-82
rdc,2021-05-25,0.3,telephone,3890a5503e62,-82
rdc,2021-05-25,0.3,telephone,3890a5505382,-83
rdc,2021-05-25,0.3,uha,3890a5505380,-84
rdc,2021-05-25,0.3,eduroam,3890a5505381,-84
rdc,2021-05-25,0.3,uha,3890a5600b40,-85
rdc,2021-05-25,0.3,eduroam,3890a5600b41,-85
rdc,2021-05-25,0.3,P.H. EST PARMI NOUS,6ec7ece83154,-64
rdc,2021-05-25,0.3,uha,3890a54ca360,-69
rdc,2021-05-25,0.3,uha,3890a5505380,-81
rdc,2021-05-25,0.3,telephone,3890a5505382,-81
rdc,2021-05-25,0.3,eduroam,3890a5505381,-82
rdc,2021-05-25,0.3,eduroam,3890a5503e61,-82
rdc,2021-05-25,0.3,telephone,3890a5503e62,-82
rdc,2021-05-25,0.3,uha,3890a5600b40,-83
rdc,2021-05-25,0.3,uha,3890a5503e60,-83
rdc,2021-05-25,0.3,telephone,3890a5600b42,-83
rdc,2021-05-25,0.3,eduroam,3890a5600b41,-84
rdc,2021-05-25,0.3,uha,3890a54ca360,-66
